index,title,director,cast,genres,Release Month,Release Date,Highest Grosser By Year(in crores)
0,Balika Badhu aka. Baby Bride,P. T. Shaida (Tulsidutt Shaida),"shaida,pandit,ali,miss,tarak,bagcha,tulsidutt",social,,,
1,Daksha Yagna aka. Sati Parvati,Vishnupant Divekar,"prabha,khalil,vaidya",mythology,,,
2,Jalandhar Vrinda aka. Sati Tulsi Vrinda,G. V. Sane,unknown,mythology,,,
3,Kansa Vadha aka. End Of The Tyrant King,G. V. Sane,unknown,mythology,,,
4,Katorabhar Khoon aka.The Stinger Stung aka. Zaheri Saanp,S. N. Patankar,"koregaonkar,gokhale,vyas,trymbakrao,pradhan,tara,k,baba,g",social,,,
5,Krishna Sudama aka. Shri Krishna Sudama,Vishnupant Divekar,"sakina,ali,moti,prabha,khalil,kesarbai,miya,vaidya",mythology,,,
6,Lava Kusha,R. Nataraja Mudaliar,unknown,mythology,,,
7,Mahabharata,Rustomji Dhotiwala,unknown,unknown,,,
8,Mrichhakatik,Suchet Singh,"kanjibhai,rathod",unknown,,,
9,Narasinha Avtar,Shree Nath Patankar,unknown,mythology,,,
10,Narsinh Mehta,"Suchet Singh, Shukle","kanjibhai,rathod",devotional,,,
11,Ram Janma,G. V. Sane,unknown,mythology,,,
12,Rama Or Maya,"Suchet Singh, Shukle","dorothy,goharjaan,rathod,samson,kanjbhai,kingdon",mythology,,,
13,Sairandhri,Baburao Painter,"ganpatrao,balasabeb,dhaiber,yadav,baburao,pawar,keshavrao,ansuyabai,bhaskar,bakre,ravi,gulabbai,pendharkar,kamaladevi,zunzharrao",mythology,,,
14,Shakuntala,Suchet Singh,"dorothy,sutria,mr,goharjaan,samson,kingdon",mythology,,,
15,Shakuntala,Shree Nath Patankar,unknown,"mythology,drama",,,
16,Shri Krishna Leela,G. V. Sane,unknown,mythology,,,
17,Shri Rama Janma,G. V. Sane,unknown,mythology,,,
18,Sita Swayamwar aka. Sita's Marriage,Shree Nath Patankar,limaye,mythology,,,
19,The Enchanted Pills aka. Vichitra Gutika,S. N. Patankar,"damuanna,dighe,marathe,joshi,gokhale,trymbakrao,pradhan,k,sitarampant,g",social,,,
20,Vikram Urvashi,Kanjibhai Rathod,"n,lina,r,vaidya,valentine",mythology,,,
21,Behula,C. Legrand,"cooper,patience",mythology,,,
22,Belgian Emperor's Visit To India,Nitin Bose,unknown,documentary,,,
23,Bhakta Vidur,Kanjibhai Rathod,"master,sakina,sampat,maneklal,homi,gangaram,prabhashankar,patel,dwarkadas",devotional,,,
24,Bilet Pherat aka. England Returned,Dhirendranath Ganguly,"dhirendranath,chakraborty,sushilabala,kunjalal,ganguly,manmatha,pal","social,comedy",,,
25,Chandrahasa,Kanjibhai Rathod,"moti,savita,khalil,tara,dhanji",devotional,,,
26,Dabbur Kelenkari,Debi Ghosh,"datta,chani",unknown,,,
27,Dhruva Charitra aka. The Story Of Dhruva,Jyotish Bannerjee,"james,manilal,cooper,signor,aga,mannelli,kusumkumari,p,mcgrath,master,madan,patience,dadabhai,kashmiri,pestonji,sarkari,mohan,hashr,signorina,m,f",mythology,,,
28,King Gopichand aka. Gopichand,Vishnupant Divekar,"mama,koregaonkar,hira,bhatt",legend,,,
29,Govardhan Dhari,G. V. Sane,unknown,mythology,,,
30,Jagat Janani Jagadamba aka. Ma Durga aka. Mother Durga,Jyotish Bannerjee,unknown,mythology,,,
31,Krishna Kumar aka. Pradyumna,Vishnupant Divekar,unknown,mythology,,,
32,Krishna Maya,Kanjibhai Rathod,jamna,mythology,,,
33,Mahasati Ansuya aka. Sati Ansuya aka. Birth Of Shri Dattatreya,Kanjibhai Rathod,"vaidya,khalil,sakina",devotional,,,
34,Meerabai aka. Mira Bai,Sisir Kumar Bhaduri,"patience,k,cooper,s,bhaduri",devotional,,,
35,Mohini,Sisir Kumar Bhaduri,"patience,k,cooper,s,bhaduri",devotional,,,
36,Nal Damayanti,E. D. Liguoro,"adajania,d,chhapgar,patience,k,albertina,liguoro,cooper,e,sarkari",mythology,,,
37,Pundalik,Ganpat Shinde,unknown,devotional,,,
38,Pundalik,Kanjibhai Rathod,unknown,devotional,,,
39,Ratnakar,S. N. Ray,"dev,sushila,shosha,debi,mukhi,chunilal",mythology,,,
40,Rukmini Haran,Kanjibhai Rathod,"n,sakina,gangaram,moti,khalil,tara,r,vaidya",mythology,,,
41,Rukmini Satyabhama aka. Rukmini Kalyanam aka. Rukmani Sathyabhama aka. The Wedding Of Rukmani ,R. Nataraja Mudaliar,unknown,mythology,,,
42,Sant Tukaram aka. Tukaram,Ganpat Shinde,unknown,devotional,,,
43,Sati Madalsa,S. N. Patankar,unknown,mythology,,,
44,Sati Sulochana,G. V. Sane,unknown,mythology,,,
45,Salaam Aleikum,Unknown,unknown,social,,,
46,Shani Prabhav,G. V. Sane,unknown,mythology,,,
47,Shivratri,C. Legrand,"prabodh,kumari,kusum,bose",mythology,,,
48,Subhadra Haran,Kanjibhai Rathod,unknown,mythology,,,
49,Surekha Haran aka. The Elopement Of Surekha aka. Surekha Abhimanyu,Baburao Painter,"vishnupant,gajrabai,yadav,ganpat,baburao,pagnis,pawar,ravji,g,r,shantaram,bakre,mane,v,pendharkar,balasaheb,mhaskar,zunzharrao",mythology,,,
50,Themuras and Tehmuljee aka. Aflatoon,Unknown,unknown,social,,,
51,Tridandi Sanyas,Vishnupant Divekar,"soni,anand,shinde,limaye",mythology,,,
52,Urvashi,Vishnupant Divekar,"koregaonkar,limaye,vithabai,hira",mythology,,,
53,Valli Thirumanam aka. Valli's Wedding,Whittaker,unknown,mythology,,,
54,Valmiki,G. V. Sane,unknown,mythology,,,
55,Vikram Satva Pariksha,G. V. Sane,unknown,mythology,,,
